======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   94 a= 36(MANAGER:2) r= -0.4502 cum=   -101.08 v=+11.5812 top5=[a43=0.041, a34=0.032, a39=0.031, a11=0.031, a6=0.029]
  s=   95 a= 23(BUILD:Torchlight) r= -4.2723 cum=   -105.35 v=+11.2216 top5=[a43=0.041, a34=0.032, a39=0.032, a11=0.030, a6=0.029]
  s=   96 a=  3(BUILD:Farm) r= +1.8805 cum=   -103.47 v=+10.8399 top5=[a43=0.040, a39=0.032, a34=0.031, a11=0.030, a6=0.029]
  s=   97 a=  2(BUILD:WaterChannel) r= +3.9838 cum=    -99.48 v=+10.1347 top5=[a43=0.041, a34=0.031, a39=0.031, a11=0.031, a6=0.029]
  s=   98 a=  4(BUILD:Garden) r= -0.8586 cum=   -100.34 v= +9.6837 top5=[a43=0.040, a11=0.033, a34=0.032, a39=0.032, a6=0.029]
  s=   99 a=  2(BUILD:WaterChannel) r= -4.1894 cum=   -104.53 v= +9.4082 top5=[a43=0.040, a11=0.032, a39=0.032, a34=0.032, a6=0.029]
  s=  100 a= 34(MANAGER:0) r= -1.0148 cum=   -105.55 v= +9.1624 top5=[a43=0.040, a39=0.032, a11=0.032, a34=0.031, a6=0.029]
    state: year=0 month=6 season=1 money=9835 credit=113856 people=28 busy=3 free=25 home_places=130 need_workers=13 tax_due=0 main_tax_due=0 tax_amount=8902 main_tax_amount=0 days_alive=107 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Farm=1 Garden=2 Road=1 House=1 SmallHouse=2 CowFarm=1 Puerperal=1 AirStation=1 | nw=1500288.3507
  s=  101 a= 40(MANAGER:6) r= -0.5007 cum=   -106.05 v= +8.9468 top5=[a43=0.040, a39=0.032, a11=0.032, a34=0.031, a6=0.029]
  s=  102 a=  0(DAY) r= -4.2133 cum=   -110.26 v= +8.7574 top5=[a43=0.040, a39=0.032, a11=0.032, a34=0.030, a6=0.029]
  s=  103 a= 21(BUILD:BigFarm) r= -1.0088 cum=   -111.27 v= +8.5677 top5=[a43=0.040, a39=0.032, a11=0.031, a34=0.030, a6=0.029]
  s=  104 a= 25(BUILD:SuperHouse) r= -1.0335 cum=   -112.30 v= +8.6171 top5=[a43=0.039, a39=0.033, a11=0.032, a34=0.030, a6=0.030]
  s=  105 a=  9(BUILD:Ironmine) r= -4.2373 cum=   -116.54 v= +3.2284 top5=[a39=0.036, a32=0.034, a43=0.033, a11=0.033, a6=0.032]
  s=  106 a=  6(BUILD:SmallHouse) r= -1.0354 cum=   -117.58 v= +5.3941 top5=[a39=0.037, a11=0.036, a43=0.034, a24=0.031, a41=0.031]
  s=  107 a= 26(BUILD:BigSawmill) r= -1.0347 cum=   -118.61 v= +6.2916 top5=[a11=0.036, a39=0.036, a43=0.036, a41=0.031, a24=0.030]
  s=  108 a= 15(BUILD:Fish) r= -4.2604 cum=   -122.87 v= +6.7695 top5=[a43=0.037, a11=0.036, a39=0.036, a41=0.031, a6=0.030]
  s=  109 a= 34(MANAGER:0) r= -1.0468 cum=   -123.92 v= +7.1125 top5=[a43=0.038, a11=0.036, a39=0.036, a41=0.030, a6=0.030]
  s=  110 a= 22(BUILD:Apiary) r= +4.2638 cum=   -119.65 v= +7.2307 top5=[a43=0.038, a11=0.036, a39=0.036, a6=0.030, a41=0.030]
  s=  111 a= 35(MANAGER:1) r= -1.0356 cum=   -120.69 v= +6.4254 top5=[a43=0.037, a11=0.036, a39=0.036, a41=0.031, a6=0.029]
