======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   52 a= 25(BUILD:SuperHouse) r= -0.2745 cum=    -30.11 v= +6.2974 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.026, a19=0.026] [BUILD: SuperHouse]
  s=   53 a=  8(BUILD:Coalmine) r= -4.0671 cum=    -34.18 v= +6.2432 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.026, a19=0.026] [BUILD FAILED: Coalmine]
  s=   54 a= 42(MANAGER:8) r= -0.1723 cum=    -34.35 v= +6.2262 top5=[a43=0.028, a15=0.027, a8=0.027, a30=0.026, a19=0.026]
  s=   55 a= 31(BUILD:AirStation) r= +4.0655 cum=    -30.28 v= +8.1238 top5=[a43=0.032, a15=0.029, a8=0.029, a14=0.027, a30=0.027] [BUILD: AirStation]
  s=   56 a= 44(MANAGER:10) r= +0.0295 cum=    -30.25 v= +9.4922 top5=[a43=0.034, a8=0.030, a15=0.030, a14=0.027, a19=0.027]
  s=   57 a= 25(BUILD:SuperHouse) r= -4.0119 cum=    -34.26 v= +9.3246 top5=[a43=0.034, a8=0.030, a15=0.030, a14=0.027, a19=0.027] [BUILD FAILED: SuperHouse]
  s=   58 a= 33(BUILD:AtomStation) r= -0.5720 cum=    -34.84 v= +9.1786 top5=[a43=0.034, a8=0.030, a15=0.029, a14=0.027, a19=0.027] [BUILD: AtomStation]
  s=   59 a= 26(BUILD:BigSawmill) r= -0.5768 cum=    -35.41 v= +9.0517 top5=[a43=0.034, a8=0.030, a15=0.029, a14=0.027, a19=0.027] [BUILD: BigSawmill]
  s=   60 a= 36(MANAGER:2) r= -3.8524 cum=    -39.27 v= +8.9400 top5=[a43=0.033, a8=0.030, a15=0.029, a14=0.027, a19=0.027]
  s=   61 a=  2(BUILD:WaterChannel) r= +4.0233 cum=    -35.24 v= +8.8523 top5=[a43=0.033, a8=0.030, a15=0.029, a14=0.027, a19=0.027] [BUILD: WaterChannel]
  s=   62 a= 44(MANAGER:10) r= +0.0251 cum=    -35.22 v=+10.0757 top5=[a43=0.035, a8=0.031, a15=0.030, a19=0.027, a30=0.027]
  s=   63 a= 22(BUILD:Apiary) r= +3.9779 cum=    -31.24 v= +9.9934 top5=[a43=0.035, a8=0.031, a15=0.030, a19=0.027, a30=0.027] [BUILD: Apiary]
  s=   64 a= 33(BUILD:AtomStation) r= -0.5635 cum=    -31.80 v= +9.9237 top5=[a43=0.035, a15=0.030, a8=0.030, a30=0.027, a19=0.027] [BUILD: AtomStation]
  s=   65 a= 43(MANAGER:9) r= -3.9432 cum=    -35.75 v= +9.8681 top5=[a43=0.035, a15=0.030, a8=0.030, a30=0.027, a19=0.027]
  s=   66 a= 21(BUILD:BigFarm) r= -0.5732 cum=    -36.32 v= +9.8167 top5=[a43=0.034, a15=0.030, a8=0.030, a30=0.027, a19=0.027] [BUILD: BigFarm]
  s=   67 a= 13(BUILD:HydroStation) r= -0.5806 cum=    -36.90 v=+10.0368 top5=[a43=0.034, a8=0.031, a15=0.031, a30=0.027, a19=0.027] [BUILD: HydroStation]
  s=   68 a=  3(BUILD:Farm) r= -3.9761 cum=    -40.88 v=+10.2207 top5=[a43=0.035, a8=0.031, a15=0.031, a30=0.028, a14=0.027] [BUILD FAILED: Farm]
  s=   69 a= 25(BUILD:SuperHouse) r= -0.5866 cum=    -41.46 v=+10.1685 top5=[a43=0.034, a8=0.031, a15=0.031, a30=0.028, a14=0.027] [BUILD: SuperHouse]
  s=   70 a= 28(BUILD:BigRefinary) r= -0.5900 cum=    -42.05 v=+10.1197 top5=[a43=0.034, a8=0.031, a15=0.030, a30=0.028, a14=0.027] [BUILD: BigRefinary]
  s=   71 a= 15(BUILD:Fish) r= -4.0077 cum=    -46.06 v=+10.0742 top5=[a43=0.034, a8=0.031, a15=0.030, a30=0.028, a14=0.027] [BUILD FAILED: Fish]
  s=   72 a=  0(DAY) r= -0.1906 cum=    -46.25 v=+10.0328 top5=[a43=0.034, a8=0.031, a15=0.030, a30=0.028, a14=0.027]
  s=   73 a= 33(BUILD:AtomStation) r= -0.5960 cum=    -46.85 v= +9.9949 top5=[a43=0.034, a8=0.031, a15=0.030, a30=0.028, a14=0.027] [BUILD: AtomStation]
  s=   74 a= 15(BUILD:Fish) r= -4.0371 cum=    -50.88 v=+23.4296 top5=[a11=0.071, a43=0.068, a34=0.058, a15=0.047, a27=0.046] [BUILD FAILED: Fish]
  s=   75 a= 25(BUILD:SuperHouse) r= -0.5952 cum=    -51.48 v=+18.0391 top5=[a11=0.063, a24=0.051, a43=0.046, a27=0.040, a32=0.040] [BUILD: SuperHouse]
  s=   76 a= 31(BUILD:AirStation) r= -0.5945 cum=    -52.07 v=+17.5012 top5=[a11=0.052, a24=0.045, a43=0.042, a27=0.037, a34=0.036] [BUILD: AirStation]
  s=   77 a= 35(MANAGER:1) r= -4.0660 cum=    -56.14 v=+16.4992 top5=[a11=0.046, a43=0.041, a24=0.040, a27=0.036, a39=0.034]
  s=   78 a= 10(BUILD:Refinery) r= -0.6002 cum=    -56.74 v=+15.4846 top5=[a11=0.043, a43=0.040, a24=0.038, a27=0.035, a39=0.034] [BUILD: Refinery]
  s=   79 a=  4(BUILD:Garden) r= -0.4484 cum=    -57.19 v=+14.5093 top5=[a11=0.041, a43=0.039, a24=0.036, a39=0.035, a27=0.033] [BUILD: Garden]
