======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   64 a=  7(BUILD:Sawmill) r= -0.2763 cum=    -76.33 v= +4.8096 top5=[a43=0.026, a15=0.026, a8=0.025, a18=0.024, a11=0.024] [BUILD: Sawmill]
  s=   65 a=  7(BUILD:Sawmill) r= -0.2738 cum=    -76.61 v= +4.8181 top5=[a43=0.026, a15=0.026, a8=0.025, a18=0.024, a17=0.024] [BUILD: Sawmill]
  s=   66 a= 27(BUILD:WaterMill) r= -4.5187 cum=    -81.13 v= +4.8319 top5=[a43=0.026, a15=0.026, a8=0.025, a18=0.024, a17=0.024] [BUILD FAILED: WaterMill]
  s=   67 a= 35(MANAGER:1) r= +0.2061 cum=    -80.92 v= +4.8479 top5=[a43=0.027, a15=0.026, a8=0.025, a18=0.024, a17=0.024]
  s=   68 a=  9(BUILD:Ironmine) r= -0.2785 cum=    -81.20 v= +4.8751 top5=[a43=0.027, a15=0.026, a8=0.025, a18=0.024, a17=0.024] [BUILD: Ironmine]
  s=   69 a= 33(BUILD:AtomStation) r= -4.5233 cum=    -85.72 v= +4.8953 top5=[a43=0.027, a15=0.026, a8=0.026, a18=0.024, a17=0.024] [BUILD FAILED: AtomStation]
  s=   70 a= 22(BUILD:Apiary) r= -0.2776 cum=    -86.00 v= +4.9170 top5=[a43=0.027, a15=0.026, a8=0.026, a18=0.024, a17=0.024] [BUILD: Apiary]
  s=   71 a= 41(MANAGER:7) r= -0.2749 cum=    -86.27 v= +4.9397 top5=[a43=0.027, a15=0.026, a8=0.026, a18=0.024, a17=0.024]
  s=   72 a= 19(BUILD:Mushroom) r= -4.5345 cum=    -90.81 v= +4.9658 top5=[a43=0.027, a15=0.026, a8=0.026, a18=0.024, a17=0.024] [BUILD FAILED: Mushroom]
  s=   73 a=  6(BUILD:SmallHouse) r= -0.2784 cum=    -91.09 v= +5.0010 top5=[a43=0.027, a15=0.026, a8=0.026, a18=0.024, a17=0.024] [BUILD: SmallHouse]
