======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   87 a= 30(BUILD:BigIronmine) r= -0.8377 cum=    -25.73 v=+11.9484 top5=[a11=0.046, a43=0.044, a24=0.043, a14=0.035, a27=0.034]
  s=   88 a= 22(BUILD:Apiary) r= +5.8635 cum=    -19.86 v=+11.4787 top5=[a11=0.043, a43=0.042, a24=0.041, a14=0.033, a27=0.032]
  s=   89 a=  4(BUILD:Garden) r= -0.7952 cum=    -20.66 v=+10.7499 top5=[a11=0.040, a43=0.040, a24=0.038, a14=0.032, a27=0.031]
  s=   90 a=  0(DAY) r= -0.2452 cum=    -20.90 v=+10.2295 top5=[a43=0.039, a11=0.038, a24=0.036, a14=0.031, a25=0.030]
  s=   91 a=  9(BUILD:Ironmine) r= +0.3104 cum=    -20.59 v= +9.7964 top5=[a43=0.039, a11=0.037, a24=0.035, a39=0.030, a25=0.030]
  s=   92 a= 12(BUILD:PowerStation) r= +0.5692 cum=    -20.02 v= +9.4187 top5=[a43=0.038, a11=0.036, a24=0.034, a39=0.031, a25=0.030]
  s=   93 a= 23(BUILD:Torchlight) r= -0.8148 cum=    -20.84 v= +9.1708 top5=[a43=0.038, a11=0.034, a24=0.034, a39=0.030, a19=0.029]
  s=   94 a= 41(MANAGER:7) r= -0.8189 cum=    -21.66 v= +8.9016 top5=[a43=0.038, a11=0.033, a24=0.033, a39=0.031, a19=0.029]
  s=   95 a=  9(BUILD:Ironmine) r= -0.8230 cum=    -22.48 v= +8.6600 top5=[a43=0.037, a11=0.033, a24=0.032, a39=0.031, a19=0.029]
  s=   96 a= 39(MANAGER:5) r= +1.4536 cum=    -21.03 v= +8.4440 top5=[a43=0.037, a11=0.032, a39=0.031, a24=0.031, a19=0.029]
  s=   97 a= 23(BUILD:Torchlight) r= -0.8277 cum=    -21.85 v= +8.2742 top5=[a43=0.036, a11=0.032, a24=0.032, a39=0.031, a19=0.030]
  s=   98 a= 32(BUILD:SmallAtomStation) r= -0.8345 cum=    -22.69 v= +8.0885 top5=[a43=0.036, a11=0.032, a39=0.031, a24=0.031, a19=0.030]
  s=   99 a= 30(BUILD:BigIronmine) r= -0.8384 cum=    -23.53 v= +8.1108 top5=[a43=0.035, a39=0.032, a11=0.032, a24=0.031, a19=0.029]
  s=  100 a= 27(BUILD:WaterMill) r= -0.8423 cum=    -24.37 v= +7.9745 top5=[a43=0.035, a39=0.032, a11=0.032, a24=0.030, a19=0.029]
    state: year=0 month=6 season=1 money=40871 credit=52342 people=28 busy=0 free=28 home_places=50 need_workers=7 tax_due=0 main_tax_due=0 tax_amount=7222 main_tax_amount=0 days_alive=109 stage=0 res0=0 res1=400 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 Farm=1 Garden=1 Road=1 Apiary=1 AirStation=2 | nw=1522473.8639
  s=  101 a= 35(MANAGER:1) r= -2.7709 cum=    -27.14 v= +7.8464 top5=[a43=0.035, a39=0.033, a11=0.031, a24=0.030, a19=0.029]
  s=  102 a= 11(BUILD:Goldmine) r= -0.8419 cum=    -27.98 v= +7.7261 top5=[a43=0.035, a39=0.033, a11=0.031, a24=0.029, a19=0.029]
  s=  103 a= 24(BUILD:Hothouse) r= +5.7968 cum=    -22.19 v= +7.5745 top5=[a43=0.035, a39=0.033, a11=0.031, a24=0.029, a19=0.029]
  s=  104 a= 14(BUILD:Road) r= +0.2455 cum=    -21.94 v= +7.7644 top5=[a43=0.035, a39=0.034, a19=0.030, a6=0.029, a11=0.029]
  s=  105 a=  4(BUILD:Garden) r= -0.8036 cum=    -22.74 v= +7.8977 top5=[a43=0.037, a39=0.035, a19=0.030, a41=0.029, a6=0.028]
  s=  106 a= 30(BUILD:BigIronmine) r= -0.8148 cum=    -23.56 v= +7.7724 top5=[a43=0.037, a39=0.035, a19=0.030, a41=0.028, a6=0.028]
  s=  107 a= 35(MANAGER:1) r= -0.8109 cum=    -24.37 v= +7.6182 top5=[a43=0.037, a39=0.036, a19=0.030, a6=0.028, a41=0.028]
  s=  108 a= 11(BUILD:Goldmine) r= -0.8249 cum=    -25.19 v= +7.4529 top5=[a43=0.037, a39=0.036, a19=0.030, a6=0.028, a41=0.028]
  s=  109 a= 13(BUILD:HydroStation) r= +5.6274 cum=    -19.57 v= +7.2970 top5=[a43=0.037, a39=0.036, a19=0.030, a6=0.028, a41=0.028]
  s=  110 a= 38(MANAGER:4) r= +1.3640 cum=    -18.20 v= +7.3198 top5=[a43=0.039, a39=0.037, a19=0.031, a41=0.029, a6=0.028]
  s=  111 a=  2(BUILD:WaterChannel) r= -0.7963 cum=    -19.00 v= +6.8971 top5=[a43=0.042, a39=0.037, a19=0.031, a41=0.030, a25=0.028]
  s=  112 a= 25(BUILD:SuperHouse) r= -0.8038 cum=    -19.80 v= +7.0197 top5=[a43=0.040, a39=0.038, a19=0.030, a41=0.030, a25=0.029]
  s=  113 a= 11(BUILD:Goldmine) r= -0.8205 cum=    -20.62 v= +7.4232 top5=[a39=0.040, a43=0.038, a25=0.029, a41=0.029, a6=0.029]
  s=  114 a= 11(BUILD:Goldmine) r= -0.8239 cum=    -21.45 v= +6.8918 top5=[a39=0.033, a43=0.032, a34=0.028, a6=0.028, a41=0.027]
  s=  115 a=  7(BUILD:Sawmill) r= -0.8252 cum=    -22.27 v= +6.8595 top5=[a39=0.033, a43=0.032, a34=0.028, a6=0.028, a41=0.027]
  s=  116 a=  9(BUILD:Ironmine) r= -0.8232 cum=    -23.10 v= +6.8270 top5=[a39=0.033, a43=0.032, a34=0.028, a6=0.028, a41=0.027]
  s=  117 a= 16(BUILD:CoalCut) r= -0.8368 cum=    -23.93 v= +6.7926 top5=[a39=0.033, a43=0.032, a6=0.028, a34=0.028, a41=0.027]
  s=  118 a= 14(BUILD:Road) r= -3.6148 cum=    -27.55 v= +6.7583 top5=[a39=0.034, a43=0.032, a6=0.028, a34=0.027, a41=0.027]
  s=  119 a= 39(MANAGER:5) r= +1.3702 cum=    -26.18 v= +6.7102 top5=[a39=0.034, a43=0.033, a6=0.028, a34=0.027, a41=0.027]
  s=  120 a=  5(BUILD:House) r= -0.8328 cum=    -27.01 v= -8.7271 top5=[a32=0.037, a24=0.034, a43=0.033, a28=0.032, a44=0.029]
  s=  121 a= 44(MANAGER:10) r= -0.0074 cum=    -27.02 v= -4.5377 top5=[a43=0.034, a32=0.033, a24=0.030, a44=0.028, a39=0.028]
  s=  122 a= 12(BUILD:PowerStation) r= +0.5200 cum=    -26.50 v= -1.9753 top5=[a43=0.034, a32=0.031, a39=0.029, a44=0.028, a24=0.028]
  s=  123 a= 44(MANAGER:10) r= -0.0121 cum=    -26.51 v= -0.1927 top5=[a43=0.035, a39=0.030, a32=0.030, a44=0.028, a9=0.027]
  s=  124 a= 19(BUILD:Mushroom) r= -0.8493 cum=    -27.36 v= +0.7196 top5=[a43=0.035, a39=0.030, a32=0.029, a44=0.027, a9=0.027]
  s=  125 a= 19(BUILD:Mushroom) r= -0.8449 cum=    -28.20 v= +1.3049 top5=[a43=0.035, a39=0.031, a32=0.028, a44=0.027, a9=0.027]
  s=  126 a= 11(BUILD:Goldmine) r= -0.8586 cum=    -29.06 v= +1.6550 top5=[a43=0.035, a39=0.031, a32=0.028, a41=0.027, a44=0.027]
  s=  127 a= 16(BUILD:CoalCut) r= -0.8597 cum=    -29.92 v= +1.8848 top5=[a43=0.035, a39=0.032, a32=0.027, a41=0.027, a44=0.027]
  s=  128 a= 27(BUILD:WaterMill) r= -0.8596 cum=    -30.78 v= +2.0586 top5=[a43=0.035, a39=0.032, a32=0.027, a41=0.027, a44=0.027]
  s=  129 a= 43(MANAGER:9) r= -0.8605 cum=    -31.64 v= +2.1668 top5=[a43=0.035, a39=0.033, a32=0.027, a41=0.026, a44=0.026]
