======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   54 a=  0 r= +0.1926 cum=     -6.32 v=+17.0201 top5=[a43=0.031, a1=0.029, a28=0.027, a11=0.027, a36=0.027]
  s=   55 a= 25 r= -0.4416 cum=     -6.76 v=+16.8206 top5=[a43=0.031, a1=0.029, a28=0.027, a11=0.027, a16=0.027]
  s=   56 a=  0 r= +0.1873 cum=     -6.57 v=+16.6334 top5=[a43=0.031, a1=0.029, a28=0.027, a11=0.027, a16=0.027]
  s=   57 a= 30 r= -0.4490 cum=     -7.02 v=+16.4576 top5=[a43=0.031, a1=0.029, a28=0.027, a16=0.027, a11=0.027]
  s=   58 a= 21 r= -0.4465 cum=     -7.47 v=+16.2943 top5=[a43=0.031, a1=0.029, a28=0.027, a16=0.027, a11=0.026]
  s=   59 a= 25 r= -3.6536 cum=    -11.12 v=+16.1480 top5=[a43=0.031, a1=0.029, a28=0.027, a16=0.027, a11=0.026]
  s=   60 a= 29 r= -0.4505 cum=    -11.57 v=+16.0358 top5=[a43=0.031, a1=0.029, a28=0.027, a16=0.027, a11=0.026]
  s=   61 a= 26 r= -0.4394 cum=    -12.01 v=+15.9319 top5=[a43=0.031, a1=0.029, a28=0.027, a16=0.027, a11=0.026]
  s=   62 a=  9 r= -0.4428 cum=    -12.45 v=+15.8684 top5=[a43=0.031, a1=0.029, a28=0.027, a16=0.027, a18=0.026]
  s=   63 a= 36 r= +0.2170 cum=    -12.24 v=+15.8079 top5=[a43=0.030, a1=0.029, a28=0.027, a16=0.027, a18=0.026]
  s=   64 a= 16 r= -0.4431 cum=    -12.68 v=+15.7952 top5=[a43=0.030, a1=0.029, a28=0.027, a16=0.027, a18=0.026]
  s=   65 a= 39 r= -0.4438 cum=    -13.12 v=+15.7990 top5=[a43=0.030, a1=0.029, a28=0.027, a16=0.027, a18=0.026]
  s=   66 a= 38 r= +2.1366 cum=    -10.99 v=+15.8383 top5=[a43=0.030, a1=0.029, a28=0.027, a16=0.027, a18=0.026]
  s=   67 a= 43 r= -0.4693 cum=    -11.46 v=+15.7280 top5=[a43=0.031, a16=0.028, a1=0.028, a11=0.026, a18=0.026]
  s=   68 a= 31 r= -0.4461 cum=    -11.90 v=+15.6802 top5=[a43=0.031, a1=0.028, a16=0.028, a11=0.026, a18=0.026]
  s=   69 a= 27 r= -3.7403 cum=    -15.64 v=+15.6674 top5=[a43=0.031, a1=0.028, a16=0.028, a11=0.026, a28=0.026]
  s=   70 a= 43 r= -0.4595 cum=    -16.10 v=+15.6809 top5=[a43=0.032, a1=0.028, a16=0.028, a11=0.026, a28=0.026]
  s=   71 a= 14 r= -0.4626 cum=    -16.56 v=+15.6938 top5=[a43=0.032, a1=0.028, a16=0.028, a11=0.026, a28=0.026]
  s=   72 a= 19 r= -0.4507 cum=    -17.01 v=+15.7252 top5=[a43=0.032, a1=0.028, a16=0.028, a11=0.027, a28=0.026]
  s=   73 a= 17 r= -0.4625 cum=    -17.48 v=+15.7557 top5=[a43=0.032, a1=0.029, a16=0.028, a11=0.027, a28=0.026]
  s=   74 a= 39 r= +2.1578 cum=    -15.32 v=+15.8109 top5=[a43=0.032, a1=0.029, a16=0.028, a11=0.027, a28=0.026]
  s=   75 a= 44 r= +0.5070 cum=    -14.81 v=+15.8431 top5=[a43=0.031, a1=0.030, a28=0.028, a11=0.027, a18=0.026]
  s=   76 a=  4 r= -0.4549 cum=    -15.27 v=+15.9348 top5=[a43=0.031, a1=0.030, a28=0.028, a11=0.027, a18=0.027]
  s=   77 a= 23 r= -0.4666 cum=    -15.73 v=+16.0565 top5=[a43=0.031, a1=0.030, a28=0.028, a11=0.027, a18=0.027]
  s=   78 a= 43 r= -0.4605 cum=    -16.19 v=+16.1704 top5=[a43=0.031, a1=0.030, a28=0.028, a11=0.027, a18=0.027]
  s=   79 a= 29 r= -3.7678 cum=    -19.96 v=+16.2900 top5=[a43=0.031, a1=0.031, a28=0.028, a11=0.027, a18=0.027]
  s=   80 a=  4 r= -0.4511 cum=    -20.41 v=-12.5852 top5=[a4=0.301, a0=0.089, a44=0.066, a38=0.057, a43=0.057]
  s=   81 a= 30 r= -0.4538 cum=    -20.87 v= +6.4831 top5=[a4=0.185, a0=0.071, a44=0.062, a43=0.061, a19=0.052]
  s=   82 a=  4 r= -0.4565 cum=    -21.32 v=+13.3452 top5=[a4=0.142, a0=0.061, a43=0.060, a44=0.057, a19=0.049]
  s=   83 a= 27 r= -0.4592 cum=    -21.78 v=+16.7334 top5=[a4=0.119, a43=0.058, a44=0.055, a0=0.054, a19=0.048]
  s=   84 a= 43 r= -0.4528 cum=    -22.24 v=+18.3208 top5=[a4=0.105, a43=0.056, a44=0.052, a0=0.049, a19=0.046]
  s=   85 a= 18 r= -0.4644 cum=    -22.70 v=+19.1829 top5=[a4=0.095, a43=0.054, a44=0.050, a0=0.045, a19=0.045]
  s=   86 a= 40 r= +0.3546 cum=    -22.35 v=+19.5339 top5=[a4=0.087, a43=0.052, a44=0.049, a19=0.044, a0=0.043]
  s=   87 a= 23 r= +0.8786 cum=    -21.47 v=+19.6521 top5=[a4=0.082, a43=0.051, a44=0.047, a19=0.043, a1=0.042]
  s=   88 a= 34 r= -0.4704 cum=    -21.94 v=+19.7015 top5=[a4=0.077, a43=0.050, a44=0.046, a19=0.042, a1=0.042]
  s=   89 a=  8 r= -3.8394 cum=    -25.78 v=+19.6681 top5=[a4=0.074, a43=0.049, a44=0.045, a1=0.042, a19=0.041]
  s=   90 a= 40 r= -0.4546 cum=    -26.23 v=+19.5873 top5=[a4=0.071, a43=0.049, a44=0.044, a1=0.041, a19=0.040]
  s=   91 a= 21 r= -0.4634 cum=    -26.69 v=+19.3785 top5=[a4=0.068, a43=0.048, a44=0.043, a1=0.041, a19=0.039]
  s=   92 a= 36 r= +0.6412 cum=    -26.05 v=+18.9471 top5=[a4=0.066, a43=0.047, a44=0.043, a1=0.041, a19=0.039]
  s=   93 a= 19 r= -0.4584 cum=    -26.51 v=+18.4955 top5=[a4=0.064, a43=0.047, a44=0.042, a1=0.040, a19=0.038]
  s=   94 a= 26 r= -0.4699 cum=    -26.98 v=+18.1870 top5=[a4=0.062, a43=0.046, a44=0.041, a1=0.040, a19=0.038]
  s=   95 a= 43 r= -0.4723 cum=    -27.45 v=+17.8701 top5=[a4=0.061, a43=0.046, a44=0.041, a1=0.040, a19=0.037]
  s=   96 a= 17 r= -0.4746 cum=    -27.93 v=+17.5683 top5=[a4=0.059, a43=0.045, a44=0.040, a1=0.039, a19=0.037]
  s=   97 a= 40 r= -0.4770 cum=    -28.41 v=+17.2731 top5=[a4=0.058, a43=0.045, a44=0.040, a1=0.039, a19=0.036]
  s=   98 a= 16 r= -0.4701 cum=    -28.88 v=+17.0185 top5=[a4=0.057, a43=0.045, a44=0.040, a1=0.039, a19=0.036]
  s=   99 a= 24 r= -3.9176 cum=    -32.79 v=+16.7610 top5=[a4=0.056, a43=0.044, a44=0.039, a1=0.039, a19=0.036]
  s=  100 a= 35 r= +0.2036 cum=    -32.59 v=+16.5060 top5=[a4=0.055, a43=0.044, a44=0.039, a1=0.039, a34=0.035]
