======================================================================
EPISODE 1
======================================================================
init: year=0 month=3 season=0 money=82000 credit=0 people=28 busy=0 free=28 home_places=50 need_workers=0 tax_due=0 main_tax_due=0 tax_amount=5106 main_tax_amount=0 days_alive=0 stage=0 res0=0 res1=0 res2=0 res3=0 res4=0 res5=0 res6=0 res7=0 res8=0 | nw=1532000.0000
  s=   53 a= 38(MANAGER:4) r= +1.7589 cum=    +20.67 v=+11.0853 top5=[a39=0.065, a38=0.058, a44=0.040, a35=0.036, a34=0.035]
  s=   54 a= 11(BUILD:Goldmine) r= -0.3676 cum=    +20.30 v=+13.2405 top5=[a39=0.075, a38=0.061, a44=0.042, a34=0.036, a35=0.035]
  s=   55 a= 21(BUILD:BigFarm) r= -0.3704 cum=    +19.93 v=+13.4866 top5=[a39=0.074, a38=0.060, a44=0.042, a34=0.036, a35=0.035]
  s=   56 a= 16(BUILD:CoalCut) r= -0.3743 cum=    +19.56 v=+13.7310 top5=[a39=0.073, a38=0.060, a44=0.042, a34=0.036, a35=0.034]
  s=   57 a= 30(BUILD:BigIronmine) r= -0.3746 cum=    +19.18 v=+13.9854 top5=[a39=0.072, a38=0.059, a44=0.043, a34=0.036, a35=0.034]
  s=   58 a= 14(BUILD:Road) r= -3.1247 cum=    +16.06 v=+14.2990 top5=[a39=0.071, a38=0.058, a44=0.043, a34=0.036, a35=0.034]
  s=   59 a=  2(BUILD:WaterChannel) r= -0.3783 cum=    +15.68 v=+14.6794 top5=[a39=0.070, a38=0.058, a44=0.044, a34=0.036, a35=0.034]
  s=   60 a=  5(BUILD:House) r= -0.3736 cum=    +15.31 v=+15.1123 top5=[a39=0.069, a38=0.057, a44=0.044, a34=0.036, a35=0.034]
  s=   61 a= 34(MANAGER:0) r= -0.3855 cum=    +14.92 v=+15.5550 top5=[a39=0.069, a38=0.056, a44=0.045, a34=0.036, a29=0.035]
  s=   62 a= 22(BUILD:Apiary) r= -0.3789 cum=    +14.54 v=+16.0100 top5=[a39=0.068, a38=0.056, a44=0.046, a34=0.035, a29=0.035]
  s=   63 a=  7(BUILD:Sawmill) r= -0.3921 cum=    +14.15 v=+16.5085 top5=[a39=0.067, a38=0.055, a44=0.046, a29=0.036, a34=0.035]
  s=   64 a=  6(BUILD:SmallHouse) r= -0.3841 cum=    +13.77 v=+17.0542 top5=[a39=0.067, a38=0.055, a44=0.047, a29=0.037, a0=0.035]
  s=   65 a= 39(MANAGER:5) r= +1.8683 cum=    +15.64 v=+17.6190 top5=[a39=0.067, a38=0.055, a44=0.048, a29=0.038, a0=0.035]
  s=   66 a=  2(BUILD:WaterChannel) r= -0.3978 cum=    +15.24 v=+16.0011 top5=[a39=0.058, a38=0.054, a44=0.046, a29=0.040, a12=0.037]
  s=   67 a= 19(BUILD:Mushroom) r= -0.3908 cum=    +14.85 v=+16.4611 top5=[a39=0.058, a38=0.054, a44=0.046, a29=0.041, a12=0.037]
  s=   68 a= 16(BUILD:CoalCut) r= -3.2363 cum=    +11.61 v=+16.9218 top5=[a39=0.058, a38=0.054, a44=0.047, a29=0.041, a12=0.038]
  s=   69 a=  0(DAY) r= +0.1734 cum=    +11.78 v=+17.3551 top5=[a39=0.058, a38=0.054, a44=0.047, a29=0.042, a12=0.038]
  s=   70 a= 23(BUILD:Torchlight) r= -0.3765 cum=    +11.41 v=+17.8008 top5=[a39=0.058, a38=0.054, a44=0.048, a29=0.043, a12=0.039]
  s=   71 a= 38(MANAGER:4) r= +1.8720 cum=    +13.28 v=+18.2877 top5=[a39=0.058, a38=0.054, a44=0.048, a29=0.044, a12=0.039]
  s=   72 a=  0(DAY) r= +0.1736 cum=    +13.45 v=+21.2492 top5=[a39=0.067, a38=0.056, a44=0.052, a29=0.043, a12=0.038]
  s=   73 a= 16(BUILD:CoalCut) r= -0.4002 cum=    +13.05 v=+21.6497 top5=[a39=0.066, a38=0.056, a44=0.052, a29=0.043, a12=0.038]
  s=   74 a= 41(MANAGER:7) r= -0.9690 cum=    +12.08 v=+22.0206 top5=[a39=0.066, a38=0.056, a44=0.053, a29=0.044, a12=0.039]
  s=   75 a= 19(BUILD:Mushroom) r= -0.4017 cum=    +11.68 v=+21.7422 top5=[a38=0.098, a39=0.094, a44=0.068, a34=0.051, a29=0.049]
  s=   76 a= 34(MANAGER:0) r= -0.4231 cum=    +11.26 v=+21.7714 top5=[a38=0.082, a39=0.082, a44=0.059, a29=0.046, a34=0.043]
  s=   77 a= 35(MANAGER:1) r= +0.4170 cum=    +11.68 v=+22.1629 top5=[a39=0.077, a38=0.075, a44=0.058, a29=0.046, a12=0.042]
  s=   78 a= 40(MANAGER:6) r= -2.6158 cum=     +9.06 v=+22.4466 top5=[a39=0.074, a38=0.072, a44=0.058, a29=0.045, a12=0.042]
  s=   79 a= 32(BUILD:SmallAtomStation) r= -0.3995 cum=     +8.66 v=+22.3051 top5=[a39=0.073, a38=0.069, a44=0.058, a29=0.045, a12=0.042]
  s=   80 a= 38(MANAGER:4) r= +1.9378 cum=    +10.60 v=+11.0562 top5=[a38=0.613, a39=0.384, a36=0.001, a12=0.001, a44=0.000]
  s=   81 a= 39(MANAGER:5) r= +1.9340 cum=    +12.53 v=+11.8601 top5=[a39=0.491, a38=0.486, a36=0.010, a12=0.006, a44=0.002]
  s=   82 a= 38(MANAGER:4) r= +1.9273 cum=    +14.46 v=+12.7231 top5=[a38=0.492, a39=0.443, a36=0.022, a12=0.014, a44=0.008]
  s=   83 a= 39(MANAGER:5) r= +1.9266 cum=    +16.39 v=+10.7196 top5=[a39=0.465, a38=0.430, a36=0.032, a12=0.019, a44=0.013]
